# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2022-08-22,395.33,395.5,390.92,391.82,48071786.0
2022-08-23,391.4,393.78,390.32,390.87,37245578.0
2022-08-24,390.67,393.5,389.96,392.13,33430664.0
2022-08-25,393.62,397.71,392.52,397.66,34747138.0
2022-08-26,397.55,398.09,384.14,384.2,68795373.0
2022-08-29,381.25,384.7,380.3,381.66,46718895.0
2022-08-30,382.82,383.05,375.38,377.47,60435972.0
2022-08-31,379.1,380.34,374.47,374.6,49094861.0
2022-09-01,372.43,376.11,369.73,375.77,58379714.0
2022-09-02,379.44,380.65,370.0,371.81,67707763.0
2022-09-06,372.63,373.59,368.19,370.41,56622532.0
2022-09-07,370.1,377.83,369.88,377.06,51385953.0
2022-09-08,374.71,379.98,373.59,379.53,56720121.0
2022-09-09,381.76,386.29,381.5,385.42,51801947.0
2022-09-12,387.49,390.29,387.19,389.57,47861178.0
2022-09-13,380.89,382.11,371.51,372.63,72990949.0
2022-09-14,373.92,375.57,370.75,374.05,50264924.0
2022-09-15,372.5,375.36,368.53,369.8,57710538.0
2022-09-16,365.63,367.64,363.7,366.98,62731612.0
2022-09-19,363.84,369.83,363.75,369.83,47850494.0
2022-09-20,366.5,367.51,362.82,365.58,55009298.0
2022-09-21,367.5,370.55,359.2,359.2,78061340.0
2022-09-22,358.43,359.46,355.44,356.19,59215647.0
2022-09-23,352.72,352.76,345.78,350.22,80890248.0
2022-09-26,348.77,352.37,345.53,346.75,65291282.0
2022-09-27,350.29,352.55,343.48,345.87,75546025.0
2022-09-28,346.82,354.36,345.13,352.68,69533435.0
2022-09-29,349.13,349.42,342.37,345.31,80869948.0
2022-09-30,344.37,348.28,339.9,339.97,86079690.0
2022-10-03,343.68,350.79,341.9,348.94,63317976.0
2022-10-04,354.46,359.78,354.37,359.76,70100362.0
2022-10-05,355.4,361.17,353.07,358.92,63673744.0
2022-10-06,357.52,360.47,354.72,355.22,59646353.0
2022-10-07,351.19,351.57,343.55,345.31,70618197.0
2022-10-10,346.43,346.66,340.43,342.67,54184212.0
2022-10-11,341.0,345.54,338.57,340.5,69580886.0
2022-10-12,340.91,342.48,339.13,339.38,52396583.0
2022-10-13,332.4,349.8,331.34,348.33,105083175.0
2022-10-14,350.77,352.42,339.76,340.4,83865260.0
2022-10-17,346.46,350.25,346.43,349.14,64220023.0
2022-10-18,357.05,357.36,349.81,353.25,71174708.0
2022-10-19,351.2,353.93,347.94,350.74,55551779.0
2022-10-20,350.28,354.71,347.04,347.8,62072741.0
2022-10-21,347.53,356.74,346.02,356.25,73187795.0
2022-10-24,357.79,361.75,355.13,360.61,58144708.0
2022-10-25,360.54,366.69,360.46,366.37,56956632.0
2022-10-26,363.22,368.9,362.97,363.61,64857144.0
2022-10-27,364.62,366.45,361.05,361.67,54339655.0
2022-10-28,361.57,370.75,361.38,370.27,61297741.0
2022-10-31,367.82,369.68,366.7,367.6,59662273.0
2022-11-01,371.34,371.58,364.82,365.99,58282057.0
2022-11-02,365.4,369.9,356.78,356.81,87591747.0
2022-11-03,353.57,356.17,351.02,353.13,56067635.0
2022-11-04,358.83,360.61,352.17,358.21,67248862.0
2022-11-07,359.51,362.23,357.43,361.64,45863185.0
2022-11-08,362.75,366.56,359.52,363.59,61632252.0
2022-11-09,361.55,362.77,355.61,356.1,53922676.0
2022-11-10,369.33,376.0,367.06,375.67,88413921.0
2022-11-11,376.53,380.11,374.64,379.31,59476709.0
2022-11-14,377.55,380.9,375.8,376.08,46976294.0
2022-11-15,381.82,382.92,375.48,379.29,63035726.0
2022-11-16,377.66,378.61,375.77,376.39,45409097.0
2022-11-17,371.64,375.92,371.34,375.24,49485700.0
2022-11-18,378.56,378.64,374.1,376.95,52623402.0
2022-11-21,375.62,376.75,373.74,375.58,35300657.0
2022-11-22,377.52,380.79,376.11,380.63,39561138.0
2022-11-23,380.3,383.51,380.07,383.03,46826342.0
2022-11-25,382.47,383.49,382.18,382.94,15855186.0
2022-11-28,379.86,381.5,376.07,376.83,43255821.0
2022-11-29,376.97,378.16,374.35,376.18,38807584.0
2022-11-30,376.4,388.04,374.52,388.04,85975728.0
2022-12-01,389.1,390.24,385.25,387.75,53032620.0
2022-12-02,382.86,388.21,382.76,387.3,51395358.0
2022-12-05,384.48,385.42,378.98,380.33,50124810.0
2022-12-06,380.17,380.72,372.77,374.85,56200659.0
2022-12-07,373.97,376.58,373.08,374.21,42733192.0
2022-12-08,376.1,378.21,374.49,377.15,40461641.0
2022-12-09,375.91,378.46,374.21,374.33,45823796.0
2022-12-12,375.11,379.73,374.45,379.73,43062136.0
2022-12-13,390.43,390.71,379.84,382.6,80385176.0
2022-12-14,382.26,385.96,377.21,380.15,71005862.0
2022-12-15,375.33,376.23,369.18,370.85,75648808.0
2022-12-16,368.31,369.64,364.34,366.48,67820459.0
2022-12-19,366.67,367.0,361.71,363.37,51385658.0
2022-12-20,362.61,365.48,361.29,363.87,47105347.0
2022-12-21,366.46,370.44,365.92,369.31,45393869.0
2022-12-22,366.27,366.58,358.35,364.04,66579938.0
2022-12-23,363.02,366.28,361.47,366.13,36892818.0
2022-12-27,366.02,366.36,363.02,364.69,35492376.0
2022-12-28,364.63,366.59,359.93,360.16,45541867.0
2022-12-29,363.0,367.51,362.47,366.64,43276820.0
2022-12-30,363.96,365.77,361.85,365.67,50735120.0
2023-01-03,367.53,369.5,361.28,364.13,49028408.0
2023-01-04,366.39,368.97,363.35,366.95,59509213.0
2023-01-05,364.99,365.11,362.16,362.76,50592240.0
2023-01-06,365.85,372.19,362.82,371.08,67788657.0
2023-01-09,373.27,376.45,370.68,370.87,53616268.0
2023-01-10,370.28,373.53,369.35,373.47,42129908.0
2023-01-11,375.04,378.27,374.23,378.19,44546421.0
2023-01-12,379.29,381.03,375.23,379.57,60874160.0
